date,opponent,home,b2b,result,MIN,PTS,AST,REB,TRB,STL,BLK,TOV,FG,FGA,3P,3PA,FT,FTA,MP
2017-10-18,SAS,False,False,"L, 99-107",34:30,18.0,1.0,13.0,13.0,2.0,1.0,2.0,8.0,15.0,0.0,1.0,2.0,2.0,
2017-10-20,UTA,True,False,"W, 100-97",32:29,20.0,1.0,10.0,10.0,1.0,2.0,1.0,7.0,12.0,0.0,1.0,6.0,8.0,
2017-10-22,OKC,False,False,"W, 115-113",35:35,27.0,1.0,12.0,12.0,0.0,1.0,4.0,11.0,17.0,2.0,7.0,3.0,3.0,
2017-10-24,IND,True,False,"L, 107-130",30:43,28.0,2.0,7.0,7.0,0.0,2.0,3.0,12.0,17.0,0.0,1.0,4.0,4.0,
2017-10-25,DET,False,True,"L, 101-122",36:09,23.0,1.0,10.0,10.0,0.0,1.0,3.0,8.0,16.0,3.0,6.0,4.0,4.0,
2017-10-27,OKC,True,False,"W, 119-116",36:03,33.0,0.0,19.0,19.0,0.0,4.0,1.0,12.0,24.0,1.0,4.0,8.0,9.0,
2017-10-30,MIA,False,False,"W, 125-122 (OT)",38:49,20.0,1.0,12.0,12.0,1.0,3.0,0.0,7.0,11.0,3.0,4.0,3.0,4.0,
2017-11-01,NOP,False,False,"W, 104-98",22:34,2.0,0.0,5.0,5.0,1.0,2.0,4.0,1.0,7.0,0.0,0.0,0.0,0.0,
2017-11-04,DAL,True,False,"W, 112-99",32:01,31.0,2.0,12.0,12.0,0.0,2.0,2.0,11.0,18.0,2.0,5.0,7.0,8.0,
2017-11-05,CHO,True,True,"W, 112-94",28:32,16.0,2.0,9.0,9.0,0.0,2.0,4.0,5.0,11.0,0.0,4.0,6.0,6.0,
2017-11-08,GSW,False,False,"L, 101-125",27:14,16.0,1.0,12.0,12.0,1.0,0.0,1.0,5.0,11.0,1.0,4.0,5.0,7.0,
2017-11-11,PHO,False,False,"L, 110-118",38:42,17.0,2.0,12.0,12.0,1.0,2.0,0.0,8.0,19.0,1.0,5.0,0.0,0.0,
2017-11-13,UTA,False,False,"W, 109-98",41:18,24.0,1.0,13.0,13.0,1.0,1.0,0.0,10.0,15.0,4.0,6.0,0.0,0.0,
2017-11-15,SAS,True,False,"W, 98-86",40:24,26.0,2.0,16.0,16.0,1.0,2.0,2.0,10.0,18.0,2.0,2.0,4.0,6.0,
2017-11-17,DAL,False,False,"W, 111-87",37:28,15.0,2.0,11.0,11.0,1.0,0.0,2.0,5.0,10.0,1.0,4.0,4.0,5.0,
2017-11-19,DET,True,False,"L, 97-100",38:19,16.0,3.0,9.0,9.0,0.0,0.0,1.0,6.0,13.0,2.0,4.0,2.0,2.0,
