date,opponent,home,b2b,result,MIN,PTS,AST,REB,TRB,STL,BLK,TOV,FG,FGA,3P,3PA,FT,FTA,MP
2024-01-27,MIN,True,True,"W, 113-112",29:45,23.0,6.0,10.0,10.0,2.0,2.0,6.0,9.0,17.0,3.0,6.0,2.0,5.0,
2024-01-29,WAS,True,False,"L, 113-118",30:46,22.0,4.0,11.0,11.0,1.0,3.0,4.0,9.0,19.0,0.0,4.0,4.0,4.0,
2024-01-31,ORL,True,False,"L, 98-108",30:11,21.0,3.0,8.0,8.0,2.0,5.0,3.0,7.0,15.0,2.0,5.0,5.0,5.0,
2024-02-02,NOP,True,False,"L, 113-114",28:25,16.0,7.0,14.0,14.0,2.0,3.0,6.0,7.0,14.0,0.0,3.0,2.0,2.0,
2024-02-03,CLE,True,True,"L, 101-117",26:52,19.0,3.0,14.0,14.0,2.0,2.0,3.0,5.0,16.0,2.0,4.0,7.0,8.0,
2024-02-07,MIA,False,False,"L, 104-116",27:48,18.0,3.0,13.0,13.0,1.0,1.0,3.0,7.0,13.0,3.0,5.0,1.0,3.0,
2024-02-08,ORL,False,True,"L, 111-127",22:32,15.0,2.0,1.0,1.0,1.0,3.0,5.0,6.0,12.0,2.0,4.0,1.0,1.0,
2024-02-10,BRK,False,False,"L, 103-123",29:02,21.0,3.0,4.0,4.0,0.0,1.0,4.0,7.0,16.0,3.0,6.0,4.0,4.0,
2024-02-12,TOR,False,False,"W, 122-99",28:59,27.0,5.0,14.0,14.0,2.0,10.0,7.0,10.0,14.0,2.0,4.0,5.0,6.0,
2024-02-14,DAL,False,False,"L, 93-116",27:12,26.0,5.0,9.0,9.0,1.0,3.0,2.0,10.0,21.0,2.0,6.0,4.0,5.0,
2024-02-22,SAC,False,False,"L, 122-127",31:17,19.0,4.0,13.0,13.0,5.0,5.0,1.0,8.0,21.0,1.0,6.0,2.0,3.0,
2024-02-23,LAL,False,True,"L, 118-123",30:55,27.0,8.0,10.0,10.0,5.0,5.0,2.0,7.0,16.0,3.0,8.0,10.0,11.0,
2024-02-25,UTA,False,False,"L, 109-128",26:58,22.0,2.0,10.0,10.0,1.0,5.0,4.0,9.0,17.0,1.0,3.0,3.0,4.0,
2024-02-27,MIN,False,False,"L, 105-114",34:15,17.0,5.0,13.0,13.0,2.0,4.0,5.0,5.0,13.0,2.0,7.0,5.0,5.0,
2024-02-29,OKC,True,False,"W, 132-118",32:22,28.0,7.0,13.0,13.0,2.0,5.0,2.0,9.0,17.0,5.0,7.0,5.0,7.0,
2024-03-03,IND,True,False,"W, 117-105",31:24,31.0,6.0,12.0,12.0,1.0,6.0,3.0,11.0,17.0,3.0,4.0,6.0,7.0,
2024-03-05,HOU,False,False,"L, 101-114",30:30,10.0,3.0,11.0,11.0,0.0,7.0,6.0,4.0,10.0,2.0,5.0,0.0,0.0,
2024-03-11,GSW,True,False,"L, 102-112",31:26,27.0,3.0,14.0,14.0,1.0,2.0,3.0,10.0,25.0,3.0,9.0,4.0,9.0,
2024-03-12,HOU,True,True,"L, 101-103",31:06,13.0,6.0,10.0,10.0,1.0,2.0,2.0,5.0,12.0,2.0,7.0,1.0,1.0,
2024-03-15,DEN,True,False,"L, 106-117",33:11,17.0,2.0,9.0,9.0,2.0,3.0,4.0,4.0,12.0,1.0,5.0,8.0,9.0,
2024-03-17,BRK,True,False,"W, 122-115 (OT)",36:09,33.0,7.0,15.0,15.0,0.0,7.0,4.0,14.0,26.0,1.0,7.0,4.0,6.0,
2024-03-19,DAL,True,False,"L, 107-113",32:07,12.0,3.0,11.0,11.0,1.0,6.0,5.0,3.0,13.0,0.0,4.0,6.0,7.0,
2024-03-22,MEM,True,False,"L, 97-99",33:27,31.0,5.0,16.0,16.0,2.0,3.0,7.0,11.0,24.0,3.0,12.0,6.0,10.0,
2024-03-23,PHO,True,True,"L, 106-131",20:53,13.0,4.0,5.0,5.0,0.0,1.0,5.0,5.0,7.0,1.0,2.0,2.0,2.0,
2024-03-27,UTA,False,False,"W, 118-111",30:29,19.0,6.0,8.0,8.0,0.0,5.0,6.0,7.0,15.0,1.0,4.0,4.0,7.0,
2024-03-29,NYK,True,False,"W, 130-126 (OT)",37:42,40.0,7.0,20.0,20.0,2.0,1.0,4.0,13.0,22.0,4.0,9.0,10.0,12.0,
2024-03-31,GSW,True,False,"L, 113-117",31:22,32.0,5.0,9.0,9.0,4.0,3.0,5.0,10.0,22.0,3.0,10.0,9.0,10.0,
2024-04-02,DEN,False,False,"L, 105-110",33:57,23.0,8.0,15.0,15.0,1.0,9.0,2.0,9.0,29.0,2.0,11.0,3.0,6.0,
2024-04-05,NOP,False,False,"W, 111-109",33:58,17.0,9.0,12.0,12.0,1.0,3.0,2.0,5.0,12.0,3.0,6.0,4.0,4.0,
2024-04-07,PHI,True,False,"L, 126-133 (2OT)",43:18,33.0,6.0,18.0,18.0,0.0,7.0,9.0,11.0,20.0,5.0,10.0,6.0,7.0,
2024-04-09,MEM,False,False,"W, 102-87",30:33,18.0,6.0,7.0,7.0,0.0,7.0,1.0,9.0,19.0,0.0,5.0,0.0,0.0,
2024-04-12,DEN,True,False,"W, 121-120",36:49,34.0,5.0,12.0,12.0,1.0,2.0,7.0,12.0,27.0,5.0,12.0,5.0,7.0,
2024-10-24,DAL,False,False,"L, 109-120",28:28,17.0,1.0,9.0,9.0,0.0,1.0,4.0,5.0,18.0,1.0,8.0,6.0,6.0,
2024-10-26,HOU,True,False,"W, 109-106",30:12,29.0,1.0,7.0,7.0,0.0,3.0,3.0,10.0,17.0,2.0,5.0,7.0,8.0,
2024-10-28,HOU,True,False,"L, 101-106",35:13,14.0,5.0,20.0,20.0,0.0,4.0,4.0,6.0,14.0,1.0,5.0,1.0,2.0,
2024-10-30,OKC,False,False,"L, 93-105",27:15,6.0,2.0,8.0,8.0,0.0,3.0,4.0,1.0,5.0,0.0,3.0,4.0,4.0,
2024-10-31,UTA,False,True,"W, 106-88",33:33,25.0,7.0,9.0,9.0,5.0,5.0,3.0,9.0,20.0,4.0,13.0,3.0,3.0,
2024-11-02,MIN,True,False,"W, 113-103",30:59,17.0,3.0,6.0,6.0,1.0,2.0,3.0,7.0,15.0,1.0,7.0,2.0,2.0,
2024-11-04,LAC,False,False,"L, 104-113",34:06,24.0,3.0,13.0,13.0,3.0,9.0,2.0,9.0,22.0,2.0,9.0,4.0,4.0,
2024-11-06,HOU,False,False,"L, 100-127",24:41,15.0,0.0,6.0,6.0,1.0,3.0,4.0,6.0,14.0,1.0,6.0,2.0,2.0,
2024-11-07,POR,True,True,"W, 118-105",32:21,12.0,2.0,8.0,8.0,4.0,3.0,4.0,4.0,13.0,2.0,6.0,2.0,3.0,
2024-11-09,UTA,True,False,"L, 110-111",32:41,24.0,0.0,16.0,16.0,0.0,7.0,6.0,8.0,15.0,6.0,9.0,2.0,2.0,
2024-11-11,SAC,True,False,"W, 116-96",34:02,34.0,6.0,14.0,14.0,1.0,3.0,3.0,13.0,22.0,6.0,12.0,2.0,2.0,
2024-11-13,WAS,True,False,"W, 139-130",32:27,50.0,2.0,6.0,6.0,1.0,3.0,1.0,18.0,29.0,8.0,16.0,6.0,9.0,
2024-11-15,LAL,True,False,"L, 115-120",34:00,28.0,5.0,14.0,14.0,1.0,2.0,5.0,12.0,25.0,4.0,13.0,0.0,0.0,
2024-11-23,GSW,True,False,"W, 104-94",34:17,25.0,9.0,7.0,7.0,1.0,3.0,4.0,9.0,21.0,4.0,13.0,3.0,4.0,
2024-11-26,UTA,False,False,"W, 128-115",36:32,34.0,2.0,7.0,7.0,1.0,3.0,2.0,13.0,23.0,6.0,14.0,2.0,2.0,
2024-11-27,LAL,True,True,"L, 101-119",33:24,20.0,2.0,10.0,10.0,2.0,3.0,4.0,9.0,20.0,2.0,9.0,0.0,0.0,
2024-12-01,SAC,False,False,"W, 127-125",36:35,34.0,11.0,14.0,14.0,1.0,3.0,5.0,11.0,17.0,5.0,9.0,7.0,9.0,
2024-12-03,PHO,False,False,"L, 93-104",34:17,15.0,7.0,13.0,13.0,1.0,1.0,4.0,6.0,18.0,1.0,9.0,2.0,2.0,
2024-12-08,NOP,True,False,"W, 121-116",25:49,25.0,1.0,10.0,10.0,0.0,3.0,3.0,9.0,16.0,3.0,7.0,4.0,4.0,
2024-12-13,POR,False,False,"W, 118-116",34:04,28.0,7.0,7.0,7.0,1.0,2.0,3.0,8.0,19.0,2.0,6.0,10.0,10.0,
2024-12-15,MIN,True,False,"L, 92-106",33:25,20.0,5.0,12.0,12.0,0.0,7.0,4.0,8.0,20.0,1.0,7.0,3.0,3.0,
2024-12-19,ATL,True,False,"W, 133-126 (OT)",37:13,42.0,5.0,6.0,6.0,2.0,4.0,5.0,13.0,24.0,7.0,15.0,9.0,12.0,
